UID	LAST NAME	LAST NAME UD	FIRST NAME	FIRST NAME UD	ALIASES	ALIASES UD	ALTERNATIVE SPELLING	ALTERNATIVE SPELLING UD	CATEGORY	CATEGORY UD	TITLE	TITLE UD	SUB CATEGORY	SUB CATEGORY UD	POSITION	POSITION UD	AGE	AGE UD	DOB	DOB UD	PLACE OF BIRTH	PLAVE OF BIRTH UD	DECEASED	DECEASED UD	PASSPORTS	PASSPORTS UD	SSN	SSN UD	LOCATIONS	LOCATIONS UD	COUNTRIES	COUNTRIES UD	COMPANIES	COMPANIES UD	E/I	E/I UD	LINKED TO	LINKED TO UD	FURTHER INFORMATION	FURTHER INFORMATION UD	KEYWORDS	KEYWORDS UD	EXTERNAL SOURCES	EXTERNAL SOURCES UD	ENTERED	ENTERED UD	UPDATED	UPDATED UD	EDITOR	EDITOR UD	AGE DATE	AGE DATE UD
PEP969	Braz, Felix				Braz, Felix				Individual/pep				PEP		NHNN																Luxembourg										NHNN											
PEP970	Brechtefeld, Natan Teewe				Brechtefeld, Natan Teewe				Individual/pep				PEP		NHNN																Kiribati										NHNN											
PEP971	Brega, Gheorghe				Brega, Gheorghe				Individual/pep				PEP		NHNN																Moldova										NHNN											
PEP972	Brencic, Maja Makovec				Brencic, Maja Makovec				Individual/pep				PEP		NHNN																Slovenia										NHNN											
PEP973	Brende, Borge				Brende, Borge				Individual/pep				PEP		NHNN																Norway										NHNN											
PEP974	Brew-Appiah-Oppong, Marietta				Brew-Appiah-Oppong, Marietta				Individual/pep				PEP		NHNN																Ghana										NHNN											
PEP975	Bridges, Simon				Bridges, Simon				Individual/pep				PEP		NHNN																New Zealand										NHNN											
PEP976	Bridges, Simon				Bridges, Simon				Individual/pep				PEP		NHNN																New Zealand										NHNN											
PEP977	Bridges, Simon				Bridges, Simon				Individual/pep				PEP		NHNN																New Zealand										NHNN											
PEP978	Briki, Abid				Briki, Abid				Individual/pep				PEP		NHNN																Tunisia										NHNN											
PEP979	Brincat, Leo				Brincat, Leo				Individual/pep				PEP		NHNN																Malta										NHNN											
PEP980	Briones, Leonor				Briones, Leonor				Individual/pep				PEP		NHNN																Philippines										NHNN											
PEP981	Brison, Scott				Brison, Scott				Individual/pep				PEP		NHNN																Canada										NHNN											
PEP982	Brodjonegoro, Bambang				Brodjonegoro, Bambang				Individual/pep				PEP		NHNN																Indonesia										NHNN											
PEP983	Brodtkorb, Julie				Brodtkorb, Julie				Individual/pep				PEP		NHNN																Norway										NHNN											
PEP984	Brokenshire, James				Brokenshire, James				Individual/pep				PEP		NHNN																United Kingdom										NHNN											
PEP985	Broohm, Octave Nicoue				Broohm, Octave Nicoue				Individual/pep				PEP		NHNN																Togo										NHNN											
PEP986	Brou, Jean-Claude				Brou, Jean-Claude				Individual/pep				PEP		NHNN																Cote d'Ivoire										NHNN											
PEP987	Brown, Lewis				Brown, Lewis				Individual/pep				PEP		NHNN																Liberia										NHNN											
PEP988	Brown, Lynne				Brown, Lynne				Individual/pep				PEP		NHNN																South Africa										NHNN											
PEP989	Brown, Mark				Brown, Mark				Individual/pep				PEP		NHNN																Cook Islands										NHNN											
PEP990	Brown, Michael				Brown, Michael				Individual/pep				PEP		NHNN																Antigua and Barbuda										NHNN											
PEP991	Browne, Gaston				Browne, Gaston				Individual/pep				PEP		NHNN																Antigua and Barbuda										NHNN											
PEP992	Browne, Gaston				Browne, Gaston				Individual/pep				PEP		NHNN																Antigua and Barbuda										NHNN											
PEP993	Brownlee, Gerald Anthony				Brownlee, Gerald Anthony				Individual/pep				PEP		NHNN																New Zealand										NHNN											
PEP994	Brownlee, Gerard Anthony				Brownlee, Gerard Anthony				Individual/pep				PEP		NHNN																New Zealand										NHNN											
PEP995	Brownlee, Gerard Anthony				Brownlee, Gerard Anthony				Individual/pep				PEP		NHNN																New Zealand										NHNN											
PEP996	Brownlee, Gerard Anthony				Brownlee, Gerard Anthony				Individual/pep				PEP		NHNN																New Zealand										NHNN											
PEP997	Bruton, Richard				Bruton, Richard				Individual/pep				PEP		NHNN																Ireland										NHNN											
PEP998	Buah, Emmanuel Armah Kofi				Buah, Emmanuel Armah Kofi				Individual/pep				PEP		NHNN																Ghana										NHNN											
PEP999	Bucardo Rocha, Ariel				Bucardo Rocha, Ariel				Individual/pep				PEP		NHNN																Nicaragua										NHNN											
PEP1000	Buchili, Beatriz da Consolacao Mateus				Buchili, Beatriz da Consolacao Mateus				Individual/pep				PEP		NHNN																Mozambique										NHNN											
PEP1001	Bucht, Sven-Erik				Bucht, Sven-Erik				Individual/pep				PEP		NHNN																Sweden										NHNN											
PEP1002	Bucur, Ciprian				Bucur, Ciprian				Individual/pep				PEP		NHNN																Romania										NHNN											
PEP1003	Budhathoki, Keshav Kumar				Budhathoki, Keshav Kumar				Individual/pep				PEP		NHNN																Nepal										NHNN											
PEP1004	Bugaighis, Wafa				Bugaighis, Wafa				Individual/pep				PEP		NHNN																Libya										NHNN											
PEP1005	Buhari, Muhammadu				Buhari, Muhammadu				Individual/pep				PEP		NHNN																Nigeria										NHNN											
PEP1006	Buhari, Muhammadu				Buhari, Muhammadu				Individual/pep				PEP		NHNN																Nigeria										NHNN											
PEP1007	Bukasa, Clement Kanku				Bukasa, Clement Kanku				Individual/pep				PEP		NHNN																Congo, Democratic Republic of the										NHNN											
PEP1008	Bukasa, Martine Ntumba				Bukasa, Martine Ntumba				Individual/pep				PEP		NHNN																Congo, Democratic Republic of the										NHNN											
PEP1009	Bukvarevic, Salko				Bukvarevic, Salko				Individual/pep				PEP		NHNN																Bosnia and Herzegovina - Federation Govt.										NHNN											
PEP1010	Buljevic, Josip				Buljevic, Josip				Individual/pep				PEP		NHNN																Croatia										NHNN											
PEP1011	Bulkan, Ronald				Bulkan, Ronald				Individual/pep				PEP		NHNN																Guyana										NHNN											
PEP1012	Bullrich, Esteban				Bullrich, Esteban				Individual/pep				PEP		NHNN																Argentina										NHNN											
PEP1013	Bullrich, Patricia				Bullrich, Patricia				Individual/pep				PEP		NHNN																Argentina										NHNN											
PEP1014	Bunyoni, Alain Guilaume				Bunyoni, Alain Guilaume				Individual/pep				PEP		NHNN																Burundi										NHNN											
PEP1015	Burgin, Clayton				Burgin, Clayton				Individual/pep				PEP		NHNN																Saint Vincent and the Grenadines										NHNN											
PEP1016	Burkhalter, Didier				Burkhalter, Didier				Individual/pep				PEP		NHNN																Switzerland										NHNN											
PEP1017	Buryaile, Ricardo				Buryaile, Ricardo				Individual/pep				PEP		NHNN																Argentina										NHNN											
PEP1018	Buse, Petru Sorin				Buse, Petru Sorin				Individual/pep				PEP		NHNN																Romania										NHNN											
PEP1019	Bushati, Ditmir				Bushati, Ditmir				Individual/pep				PEP		NHNN																Albania										NHNN											
PEP1020	Busingye, Johnston				Busingye, Johnston				Individual/pep				PEP		NHNN																Rwanda										NHNN											
PEP1021	Busingye, Johnston				Busingye, Johnston				Individual/pep				PEP		NHNN																Rwanda										NHNN											
PEP1022	Bussa, Jean Lucien				Bussa, Jean Lucien				Individual/pep				PEP		NHNN																Congo, Democratic Republic of the										NHNN											
PEP1023	Bussemaker, Jet				Bussemaker, Jet				Individual/pep				PEP		NHNN																Netherlands										NHNN											
PEP1024	Butime, Tom				Butime, Tom				Individual/pep				PEP		NHNN																Uganda										NHNN											
PEP1025	Butkovic, Oleg				Butkovic, Oleg				Individual/pep				PEP		NHNN																Croatia										NHNN											
PEP1026	Butore, Joseph				Butore, Joseph				Individual/pep				PEP		NHNN																Burundi										NHNN											
PEP1027	Byambatsogt, Sandag				Byambatsogt, Sandag				Individual/pep				PEP		NHNN																Mongolia										NHNN											
PEP1028	Byaruhanga, William				Byaruhanga, William				Individual/pep				PEP		NHNN																Uganda										NHNN											
PEP1029	Byer-Suckoo, Esther				Byer-Suckoo, Esther				Individual/pep				PEP		NHNN																Barbados										NHNN											
PEP1030	Byron, Vincent				Byron, Vincent				Individual/pep				PEP		NHNN																Saint Kitts and Nevis										NHNN											
PEP1031	Cabrera Escobar, Jose Alfonso				Cabrera Escobar, Jose Alfonso				Individual/pep				PEP		NHNN																Guatemala										NHNN											
PEP1032	Cabrera Franco, Jafeth				Cabrera Franco, Jafeth				Individual/pep				PEP		NHNN																Guatemala										NHNN											
PEP1033	Cabrera Melgar, Oscar				Cabrera Melgar, Oscar				Individual/pep				PEP		NHNN																El Salvador										NHNN											
PEP1034	Cabrera, Francisco				Cabrera, Francisco				Individual/pep				PEP		NHNN																Argentina										NHNN											
PEP1035	Cabrisas Ruiz, Ricardo				Cabrisas Ruiz, Ricardo				Individual/pep				PEP		NHNN																Cuba										NHNN											
PEP1036	Cabrisas Ruiz, Ricardo				Cabrisas Ruiz, Ricardo				Individual/pep				PEP		NHNN																Cuba										NHNN											
PEP1037	Cabrita, Eduardo				Cabrita, Eduardo				Individual/pep				PEP		NHNN																Portugal										NHNN											
PEP1038	Caceres Chavez, Juan Carlos				Caceres Chavez, Juan Carlos				Individual/pep				PEP		NHNN																El Salvador										NHNN											
PEP1039	Cadena Mosquera, Jose				Cadena Mosquera, Jose				Individual/pep				PEP		NHNN																Ecuador										NHNN											
PEP1040	Cadiz, Stephen				Cadiz, Stephen				Individual/pep				PEP		NHNN																Trinidad and Tobago										NHNN											
PEP1041	Caesar, Saboto				Caesar, Saboto				Individual/pep				PEP		NHNN																Saint Vincent and the Grenadines										NHNN											
PEP1042	Cahen, Corinne				Cahen, Corinne				Individual/pep				PEP		NHNN																Luxembourg										NHNN											
PEP1043	Caid Essebsi, Beji				Caid Essebsi, Beji				Individual/pep				PEP		NHNN																Tunisia										NHNN											
PEP1044	Cairns, Alun				Cairns, Alun				Individual/pep				PEP		NHNN																United Kingdom										NHNN											
PEP1045	Caksa, Anda				Caksa, Anda				Individual/pep				PEP		NHNN																Latvia										NHNN											
PEP1046	Calenda, Carlo				Calenda, Carlo				Individual/pep				PEP		NHNN																Italy										NHNN											
PEP1047	Callichurn, Soodesh				Callichurn, Soodesh				Individual/pep				PEP		NHNN																Mauritius										NHNN											
PEP1048	Calmic, Octavian				Calmic, Octavian				Individual/pep				PEP		NHNN																Moldova										NHNN											
PEP1049	Calmic, Octavian				Calmic, Octavian				Individual/pep				PEP		NHNN																Moldova										NHNN											
PEP1050	Calvao Da Silva, John				Calvao Da Silva, John				Individual/pep				PEP		NHNN																Portugal										NHNN											
PEP1051	Calvo Armengol, Silvia				Calvo Armengol, Silvia				Individual/pep				PEP		NHNN																Andorra										NHNN											
PEP1052	Calzada, Jose Eduardo				Calzada, Jose Eduardo				Individual/pep				PEP		NHNN																Mexico										NHNN											
PEP1053	Camara, Abdoul Kabele				Camara, Abdoul Kabele				Individual/pep				PEP		NHNN																Guinea										NHNN											
PEP1054	Camara, Amedi				Camara, Amedi				Individual/pep				PEP		NHNN																Mauritania										NHNN											
PEP1055	Camara, Damantang Albert				Camara, Damantang Albert				Individual/pep				PEP		NHNN																Guinea										NHNN											
PEP1056	Camara, Kandia Kamissoko				Camara, Kandia Kamissoko				Individual/pep				PEP		NHNN																Cote d'Ivoire										NHNN											
PEP1057	Camara, Louceny				Camara, Louceny				Individual/pep				PEP		NHNN																Guinea										NHNN											
PEP1058	Camara, Makale				Camara, Makale				Individual/pep				PEP		NHNN																Guinea										NHNN											
PEP1059	Camara, Oumou				Camara, Oumou				Individual/pep				PEP		NHNN																Guinea										NHNN											
PEP1060	Camara, Sekou Kissing				Camara, Sekou Kissing				Individual/pep				PEP		NHNN																Guinea										NHNN											
PEP1061	Camp Torres, Francesc				Camp Torres, Francesc				Individual/pep				PEP		NHNN																Andorra										NHNN											
PEP1062	Campara, Aljosa				Campara, Aljosa				Individual/pep				PEP		NHNN																Bosnia and Herzegovina - Federation Govt.										NHNN											
PEP1063	Campbell Hooker, Francisco Obadiah				Campbell Hooker, Francisco Obadiah				Individual/pep				PEP		NHNN																Nicaragua										NHNN											
PEP1064	Campero Nava, Ariana				Campero Nava, Ariana				Individual/pep				PEP		NHNN																Bolivia										NHNN											
PEP1065	Campos Quiroga, Jaime				Campos Quiroga, Jaime				Individual/pep				PEP		NHNN																Chile										NHNN											
PEP1066	Canavan, Matt				Canavan, Matt				Individual/pep				PEP		NHNN																Australia										NHNN											
PEP1067	Cande, Botche				Cande, Botche				Individual/pep				PEP		NHNN																Guinea-Bissau										NHNN											
PEP1068	Canikli, Nurettin				Canikli, Nurettin				Individual/pep				PEP		NHNN																Turkey										NHNN											
PEP1069	Canjura, Carlos				Canjura, Carlos				Individual/pep				PEP		NHNN																El Salvador										NHNN											
PEP1070	Cannonier, Craig				Cannonier, Craig				Individual/pep				PEP		NHNN																Bermuda										NHNN											
PEP1071	Caporale, Antonieta				Caporale, Antonieta				Individual/pep				PEP		NHNN																Venezuela										NHNN											
PEP1072	Caputo, Luis				Caputo, Luis				Individual/pep				PEP		NHNN																Argentina										NHNN											
PEP1073	Cardenas Santa Maria, Mauricio				Cardenas Santa Maria, Mauricio				Individual/pep				PEP		NHNN																Colombia										NHNN											
PEP1074	Cardi, Sebastiano				Cardi, Sebastiano				Individual/pep				PEP		NHNN																Italy										NHNN											
PEP1075	Cardona, Chris				Cardona, Chris				Individual/pep				PEP		NHNN																Malta										NHNN											
PEP1076	Cardona, Ricardo				Cardona, Ricardo				Individual/pep				PEP		NHNN																Honduras										NHNN											
PEP1077	Cardoso, Santina				Cardoso, Santina				Individual/pep				PEP		NHNN																Timor-Leste										NHNN											
PEP1078	Carl Xvi Gustaf				Carl Xvi Gustaf				Individual/pep				PEP		NHNN																Sweden										NHNN											
PEP1079	Carles Rudy, Luis Ernesto				Carles Rudy, Luis Ernesto				Individual/pep				PEP		NHNN																Panama										NHNN											
PEP1080	Carles, Eduardo Enrique				Carles, Eduardo Enrique				Individual/pep				PEP		NHNN																Panama										NHNN											
PEP1081	Carmona, Anthony Thomas Aquinas				Carmona, Anthony Thomas Aquinas				Individual/pep				PEP		NHNN																Trinidad and Tobago										NHNN											
PEP1082	Carney, Mark				Carney, Mark				Individual/pep				PEP		NHNN																United Kingdom										NHNN											
PEP1083	Carr, James Gordon				Carr, James Gordon				Individual/pep				PEP		NHNN																Canada										NHNN											
PEP1084	Carstens Carstens, Agustin				Carstens Carstens, Agustin				Individual/pep				PEP		NHNN																Mexico										NHNN											
PEP1085	Cartes Jara, Horacio				Cartes Jara, Horacio				Individual/pep				PEP		NHNN																Paraguay										NHNN											
PEP1086	Carvalho, Evaristo				Carvalho, Evaristo				Individual/pep				PEP		NHNN																Sao Tome and Principe										NHNN											
PEP1087	Casali, Augusto				Casali, Augusto				Individual/pep				PEP		NHNN																San Marino										NHNN											
PEP1088	Cash, Michaelia Claire				Cash, Michaelia Claire				Individual/pep				PEP		NHNN																Australia										NHNN											
PEP1089	Cash, Michaelia Claire				Cash, Michaelia Claire				Individual/pep				PEP		NHNN																Australia										NHNN											
PEP1090	Cash, Michaelia Claire				Cash, Michaelia Claire				Individual/pep				PEP		NHNN																Australia										NHNN											
PEP1091	Castanon Stormont, Juan Pelayo				Castanon Stormont, Juan Pelayo				Individual/pep				PEP		NHNN																Guatemala										NHNN											
PEP1092	Castillo Taucher, Carmen				Castillo Taucher, Carmen				Individual/pep				PEP		NHNN																Chile										NHNN											
PEP1093	Castillo Terrero, Gonzalo				Castillo Terrero, Gonzalo				Individual/pep				PEP		NHNN																Dominican Republic										NHNN											
PEP1094	Castro Gonzalez, Sonia				Castro Gonzalez, Sonia				Individual/pep				PEP		NHNN																Nicaragua										NHNN											
PEP1095	Castro Mendes, Luis Filipe				Castro Mendes, Luis Filipe				Individual/pep				PEP		NHNN																Portugal										NHNN											
PEP1096	Castro Perez, Olivier				Castro Perez, Olivier				Individual/pep				PEP		NHNN																Costa Rica										NHNN											
PEP1097	Castro Ruz, Raul				Castro Ruz, Raul				Individual/pep				PEP		NHNN																Cuba										NHNN											
PEP1098	Castro Ruz, Raul				Castro Ruz, Raul				Individual/pep				PEP		NHNN																Cuba										NHNN											
PEP1099	Castro Soteldo, Wilmar				Castro Soteldo, Wilmar				Individual/pep				PEP		NHNN																Venezuela										NHNN											
PEP1100	Catala Polo, Rafael				Catala Polo, Rafael				Individual/pep				PEP		NHNN																Spain										NHNN											
PEP1101	Cavara, Marinko				Cavara, Marinko				Individual/pep				PEP		NHNN																Bosnia and Herzegovina - Federation Govt.										NHNN											
PEP1102	Cavusoglu, Mevlut				Cavusoglu, Mevlut				Individual/pep				PEP		NHNN																Turkey										NHNN											
PEP1103	Cazeneuve, Bernard				Cazeneuve, Bernard				Individual/pep				PEP		NHNN																France										NHNN											
PEP1104	Cebotari, Vladimir				Cebotari, Vladimir				Individual/pep				PEP		NHNN																Moldova										NHNN											
PEP1105	Cedeno De Fernandez, Margarita				Cedeno De Fernandez, Margarita				Individual/pep				PEP		NHNN																Dominican Republic										NHNN											
PEP1106	Celik, Faruk				Celik, Faruk				Individual/pep				PEP		NHNN																Turkey										NHNN											
PEP1107	Celik, Omer				Celik, Omer				Individual/pep				PEP		NHNN																Turkey										NHNN											
PEP1108	Cemalovic-Dilberovic, Elvira				Cemalovic-Dilberovic, Elvira				Individual/pep				PEP		NHNN																Bosnia and Herzegovina - Federation Govt.										NHNN											
PEP1109	Centeno, Mario				Centeno, Mario				Individual/pep				PEP		NHNN																Portugal										NHNN											
PEP1110	Cerar, Bozo				Cerar, Bozo				Individual/pep				PEP		NHNN																Slovenia										NHNN											
PEP1111	Cerar, Miro				Cerar, Miro				Individual/pep				PEP		NHNN																Slovenia										NHNN											
PEP1112	Cerrato, Wilfredo				Cerrato, Wilfredo				Individual/pep				PEP		NHNN																Honduras										NHNN											
PEP1113	Cervantes Andrade, Raul				Cervantes Andrade, Raul				Individual/pep				PEP		NHNN																Mexico										NHNN											
PEP1114	Cespedes Cifuentes, Luis Felipe				Cespedes Cifuentes, Luis Felipe				Individual/pep				PEP		NHNN																Chile										NHNN											
PEP1115	Cetinkaya, Murat				Cetinkaya, Murat				Individual/pep				PEP		NHNN																Turkey										NHNN											
PEP1116	Chacon, Ana Helena				Chacon, Ana Helena				Individual/pep				PEP		NHNN																Costa Rica										NHNN											
PEP1117	Chagger, Bardish				Chagger, Bardish				Individual/pep				PEP		NHNN																Canada										NHNN											
PEP1118	Chagger, Bardish				Chagger, Bardish				Individual/pep				PEP		NHNN																Canada										NHNN											
PEP1119	Chahed, Youssef				Chahed, Youssef				Individual/pep				PEP		NHNN																Tunisia										NHNN											
PEP1120	Chaleun Yiapaoheu				Chaleun Yiapaoheu				Individual/pep				PEP		NHNN																Laos										NHNN											
PEP1121	Chalyy, Valeriy				Chalyy, Valeriy				Individual/pep				PEP		NHNN																Ukraine										NHNN											
PEP1122	Cham Prasidh				Cham Prasidh				Individual/pep				PEP		NHNN																Cambodia										NHNN											
PEP1123	Chan Chun Sing				Chan Chun Sing				Individual/pep				PEP		NHNN																Singapore										NHNN											
PEP1124	Chan Ka-Keung, K. C.				Chan Ka-Keung, K. C.				Individual/pep				PEP		NHNN																China - Hong Kong										NHNN											
PEP1125	Chan Mo-Po, Paul				Chan Mo-Po, Paul				Individual/pep				PEP		NHNN																China - Hong Kong										NHNN											
PEP1126	Chan Tak-Lam, Norman				Chan Tak-Lam, Norman				Individual/pep				PEP		NHNN																China - Hong Kong										NHNN											
PEP1127	Chan, Byron				Chan, Byron				Individual/pep				PEP		NHNN																Papua New Guinea										NHNN											
PEP1128	Chan, Florinda Da Rosa Silva				Chan, Florinda Da Rosa Silva				Individual/pep				PEP		NHNN																China - Macau										NHNN											
PEP1129	Chanfiou, Abdou Mohamed				Chanfiou, Abdou Mohamed				Individual/pep				PEP		NHNN																Comoros										NHNN											
PEP1130	Chang Castillo, Rigoberto				Chang Castillo, Rigoberto				Individual/pep				PEP		NHNN																Honduras										NHNN											
PEP1131	Chang Hsiao-Yueh (A.K.A. Catharine Chang)				Chang Hsiao-Yueh (A.K.A. Catharine Chang)				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1132	Chang Jing-Sen				Chang Jing-Sen				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1133	Chang Po-Ya				Chang Po-Ya				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1134	Chang Wanquan				Chang Wanquan				Individual/pep				PEP		NHNN																China										NHNN											
PEP1135	Chang Wanquan				Chang Wanquan				Individual/pep				PEP		NHNN																China										NHNN											
PEP1136	Chang, Horace Anthony				Chang, Horace Anthony				Individual/pep				PEP		NHNN																Jamaica										NHNN											
PEP1137	Chansamon Chan-Gnalat				Chansamon Chan-Gnalat				Individual/pep				PEP		NHNN																Laos										NHNN											
PEP1138	Chaponda, George				Chaponda, George				Individual/pep				PEP		NHNN																Malawi										NHNN											
PEP1139	Charki, Draiss				Charki, Draiss				Individual/pep				PEP		NHNN																Morocco										NHNN											
PEP1140	Charles, Justina				Charles, Justina				Individual/pep				PEP		NHNN																Dominica										NHNN											
PEP1141	Charles, Maxwell				Charles, Maxwell				Individual/pep				PEP		NHNN																Saint Vincent and the Grenadines										NHNN											
PEP1142	Charles, Rodney				Charles, Rodney				Individual/pep				PEP		NHNN																Trinidad and Tobago										NHNN											
PEP1143	Chasikos, Sokratis				Chasikos, Sokratis				Individual/pep				PEP		NHNN																Cyprus										NHNN											
PEP1144	Chastenet, Allen				Chastenet, Allen				Individual/pep				PEP		NHNN																Saint Lucia										NHNN											
PEP1145	Chastenet, Allen				Chastenet, Allen				Individual/pep				PEP		NHNN																Saint Lucia										NHNN											
PEP1146	Chatardova, Maria				Chatardova, Maria				Individual/pep				PEP		NHNN																Czechia										NHNN											
PEP1147	Chatchai Sarikan				Chatchai Sarikan				Individual/pep				PEP		NHNN																Thailand										NHNN											
PEP1148	Chaudhary, Ahsan Iqbal				Chaudhary, Ahsan Iqbal				Individual/pep				PEP		NHNN																Pakistan										NHNN											
PEP1149	Chavez Gomez, Jeannette				Chavez Gomez, Jeannette				Individual/pep				PEP		NHNN																Nicaragua										NHNN											
PEP1150	Chavez, Adan				Chavez, Adan				Individual/pep				PEP		NHNN																Venezuela										NHNN											
PEP1151	Chayane, Said Ali				Chayane, Said Ali				Individual/pep				PEP		NHNN																Comoros										NHNN											
PEP1152	Chayka, Yuriy Yakovlevich				Chayka, Yuriy Yakovlevich				Individual/pep				PEP		NHNN																Russia										NHNN											
PEP1153	Chea Chanto				Chea Chanto				Individual/pep				PEP		NHNN																Cambodia										NHNN											
PEP1154	Chea Sophara				Chea Sophara				Individual/pep				PEP		NHNN																Cambodia										NHNN											
PEP1155	Chea Urruela, Jose Luis				Chea Urruela, Jose Luis				Individual/pep				PEP		NHNN																Guatemala										NHNN											
PEP1156	Cheikh, Mohamed Lemine Ould				Cheikh, Mohamed Lemine Ould				Individual/pep				PEP		NHNN																Mauritania										NHNN											
PEP1157	Cheikh, Moumin Ahmed				Cheikh, Moumin Ahmed				Individual/pep				PEP		NHNN																Djibouti										NHNN											
PEP1158	Cheikhrouhou, Hela				Cheikhrouhou, Hela				Individual/pep				PEP		NHNN																Tunisia										NHNN											
PEP1159	Chekanov, Valentin				Chekanov, Valentin				Individual/pep				PEP		NHNN																Belarus										NHNN											
PEP1160	Chen Baosheng				Chen Baosheng				Individual/pep				PEP		NHNN																China										NHNN											
PEP1161	Chen Chien-Jen				Chen Chien-Jen				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1162	Chen Jining				Chen Jining				Individual/pep				PEP		NHNN																China										NHNN											
PEP1163	Chen Lei				Chen Lei				Individual/pep				PEP		NHNN																China										NHNN											
PEP1164	Chen Mei-Ling				Chen Mei-Ling				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1165	Chen Tain-Jy				Chen Tain-Jy				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1166	Chen Tain-Jy				Chen Tain-Jy				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1167	Chen Wenqing				Chen Wenqing				Individual/pep				PEP		NHNN																China										NHNN											
PEP1168	Chen Zhenggao				Chen Zhenggao				Individual/pep				PEP		NHNN																China										NHNN											
PEP1169	Cheng Li-Chiun				Cheng Li-Chiun				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1170	Chenoweth, Florence				Chenoweth, Florence				Individual/pep				PEP		NHNN																Liberia										NHNN											
PEP1171	Cheong Kuoc Va				Cheong Kuoc Va				Individual/pep				PEP		NHNN																China - Macau										NHNN											
PEP1172	Cheong U				Cheong U				Individual/pep				PEP		NHNN																China - Macau										NHNN											
PEP1173	Cheptoris, Sam				Cheptoris, Sam				Individual/pep				PEP		NHNN																Uganda										NHNN											
PEP1174	Cherni, Majdouline				Cherni, Majdouline				Individual/pep				PEP		NHNN																Tunisia										NHNN											
PEP1175	Chester, Darren Jeffrey				Chester, Darren Jeffrey				Individual/pep				PEP		NHNN																Australia										NHNN											
PEP1176	Cheung Bing-Leung, Anthony				Cheung Bing-Leung, Anthony				Individual/pep				PEP		NHNN																China - Hong Kong										NHNN											
PEP1177	Cheung Kin-Chung, Matthew				Cheung Kin-Chung, Matthew				Individual/pep				PEP		NHNN																China - Hong Kong										NHNN											
PEP1178	Cheung Wan-Ching, Clement				Cheung Wan-Ching, Clement				Individual/pep				PEP		NHNN																China - Hong Kong										NHNN											
PEP1179	Chhay Than				Chhay Than				Individual/pep				PEP		NHNN																Cambodia										NHNN											
PEP1180	Chidhakwa, Walter				Chidhakwa, Walter				Individual/pep				PEP		NHNN																Zimbabwe										NHNN											
PEP1181	Chigiyal, Jane J.				Chigiyal, Jane J.				Individual/pep				PEP		NHNN																Micronesia, Federated States of										NHNN											
PEP1182	Chikoti, Georges Rebelo				Chikoti, Georges Rebelo				Individual/pep				PEP		NHNN																Angola										NHNN											
PEP1183	Chikwanda, Alexander				Chikwanda, Alexander				Individual/pep				PEP		NHNN																Zambia										NHNN											
PEP1184	Chikwinya, Nyasha				Chikwinya, Nyasha				Individual/pep				PEP		NHNN																Zimbabwe										NHNN											
PEP1185	Chilima, Saulos				Chilima, Saulos				Individual/pep				PEP		NHNN																Malawi										NHNN											
PEP1186	Chinamasa, Patrick Anthony				Chinamasa, Patrick Anthony				Individual/pep				PEP		NHNN																Zimbabwe										NHNN											
PEP1187	Chinchilla Banegas, Oscar Fernando				Chinchilla Banegas, Oscar Fernando				Individual/pep				PEP		NHNN																Honduras										NHNN											
PEP1188	Chirinciuc, Iurie				Chirinciuc, Iurie				Individual/pep				PEP		NHNN																Moldova										NHNN											
PEP1189	Chitchian, Hamid				Chitchian, Hamid				Individual/pep				PEP		NHNN																Iran										NHNN											
PEP1190	Chiu Tai-San				Chiu Tai-San				Individual/pep				PEP		NHNN																Taiwan										NHNN											
PEP1191	Chiumia, Grace Obama				Chiumia, Grace Obama				Individual/pep				PEP		NHNN																Malawi										NHNN											
PEP1192	Cho Kyeung-Kyu				Cho Kyeung-Kyu				Individual/pep				PEP		NHNN																Korea, South										NHNN											
PEP1193	Cho Yoon-Sun				Cho Yoon-Sun				Individual/pep				PEP		NHNN																Korea, South										NHNN											
PEP1194	Choden, Dorji				Choden, Dorji				Individual/pep				PEP		NHNN																Bhutan										NHNN											
PEP1195	Choe Il Ryong				Choe Il Ryong				Individual/pep				PEP		NHNN																Korea, North										NHNN											
PEP1196	Choe Pu Il				Choe Pu Il				Individual/pep				PEP		NHNN																Korea, North										NHNN											
PEP1197	Choe Pu Il				Choe Pu Il				Individual/pep				PEP		NHNN																Korea, North										NHNN											
PEP1198	Choe Ryong Hae				Choe Ryong Hae				Individual/pep				PEP		NHNN																Korea, North										NHNN											
PEP1199	Choe Ryong Hae				Choe Ryong Hae				Individual/pep				PEP		NHNN																Korea, North										NHNN											
PEP1200	Choe Sung Ho				Choe Sung Ho				Individual/pep				PEP		NHNN																Korea, North										NHNN											
